"filename", "language", "TypeScript", "comment", "blank", "total"
"/Users/thiseas/Repos/saladbar-api/src/app.ts", "TypeScript", 27, 0, 6, 33
"/Users/thiseas/Repos/saladbar-api/src/controllers/authController.ts", "TypeScript", 131, 1, 13, 145
"/Users/thiseas/Repos/saladbar-api/src/controllers/cartController.ts", "TypeScript", 121, 4, 13, 138
"/Users/thiseas/Repos/saladbar-api/src/controllers/logoutController.ts", "TypeScript", 25, 2, 4, 31
"/Users/thiseas/Repos/saladbar-api/src/controllers/productController.ts", "TypeScript", 166, 4, 17, 187
"/Users/thiseas/Repos/saladbar-api/src/controllers/refreshTokenController.ts", "TypeScript", 37, 0, 7, 44
"/Users/thiseas/Repos/saladbar-api/src/controllers/userControllers.ts", "TypeScript", 42, 0, 4, 46
"/Users/thiseas/Repos/saladbar-api/src/middleware/restrictTo.ts", "TypeScript", 13, 0, 2, 15
"/Users/thiseas/Repos/saladbar-api/src/middleware/verifyJWT.ts", "TypeScript", 27, 0, 3, 30
"/Users/thiseas/Repos/saladbar-api/src/models/cartModel.ts", "TypeScript", 116, 5, 11, 132
"/Users/thiseas/Repos/saladbar-api/src/models/productModel.ts", "TypeScript", 52, 0, 7, 59
"/Users/thiseas/Repos/saladbar-api/src/models/userModel.ts", "TypeScript", 62, 16, 9, 87
"/Users/thiseas/Repos/saladbar-api/src/routes/authRoutes.ts", "TypeScript", 8, 0, 4, 12
"/Users/thiseas/Repos/saladbar-api/src/routes/cartRoutes.ts", "TypeScript", 18, 0, 4, 22
"/Users/thiseas/Repos/saladbar-api/src/routes/logoutRoutes.ts", "TypeScript", 5, 0, 4, 9
"/Users/thiseas/Repos/saladbar-api/src/routes/productRoutes.ts", "TypeScript", 18, 0, 4, 22
"/Users/thiseas/Repos/saladbar-api/src/routes/refreshTokenRoutes.ts", "TypeScript", 5, 0, 4, 9
"/Users/thiseas/Repos/saladbar-api/src/routes/usersRoutes.ts", "TypeScript", 6, 0, 4, 10
"/Users/thiseas/Repos/saladbar-api/src/tsTypes/cart.types.ts", "TypeScript", 31, 0, 5, 36
"/Users/thiseas/Repos/saladbar-api/src/tsTypes/custom.d.ts", "TypeScript", 9, 1, 3, 13
"/Users/thiseas/Repos/saladbar-api/src/tsTypes/index.ts", "TypeScript", 4, 0, 1, 5
"/Users/thiseas/Repos/saladbar-api/src/tsTypes/product.types.ts", "TypeScript", 31, 0, 5, 36
"/Users/thiseas/Repos/saladbar-api/src/tsTypes/user.types.ts", "TypeScript", 21, 0, 4, 25
"/Users/thiseas/Repos/saladbar-api/src/tsTypes/utils.types.ts", "TypeScript", 9, 0, 3, 12
"/Users/thiseas/Repos/saladbar-api/src/tsUtils/builders/index.ts", "TypeScript", 66, 0, 7, 73
"/Users/thiseas/Repos/saladbar-api/src/tsUtils/parsers/cart.parsers.ts", "TypeScript", 56, 1, 5, 62
"/Users/thiseas/Repos/saladbar-api/src/tsUtils/parsers/index.ts", "TypeScript", 3, 0, 1, 4
"/Users/thiseas/Repos/saladbar-api/src/tsUtils/parsers/product.parsers.ts", "TypeScript", 8, 0, 2, 10
"/Users/thiseas/Repos/saladbar-api/src/tsUtils/parsers/utils.parser.ts", "TypeScript", 62, 0, 10, 72
"/Users/thiseas/Repos/saladbar-api/src/tsUtils/typeguards/index.ts", "TypeScript", 1, 0, 1, 2
"/Users/thiseas/Repos/saladbar-api/src/tsUtils/typeguards/typeguards.ts", "TypeScript", 32, 1, 7, 40
"/Users/thiseas/Repos/saladbar-api/src/utils/catchAsync.ts", "TypeScript", 10, 0, 2, 12
"/Users/thiseas/Repos/saladbar-api/src/utils/cloudinary.ts", "TypeScript", 16, 0, 5, 21
"/Users/thiseas/Repos/saladbar-api/src/utils/config.ts", "TypeScript", 40, 1, 9, 50
"/Users/thiseas/Repos/saladbar-api/src/utils/emailSender.ts", "TypeScript", 23, 0, 3, 26
"Total", "-", 1301, 36, 193, 1530
